DRUG,MUT_TYPE,Literature-Validated Gene Targets,Number of Validated Targets,Article Count,PMIDs,ACTION,SPECIFIC_FUNCTION,Drug Empirical FDR
Bisindolylmaleimide I,AMPLIFICATION,PRKCI,1,1,17990328,PRKCI: UNKNOWN,,0.0026021962002602
Fostamatinib,"AMPLIFICATION, SOMATIC","EPHA2, PRKCI",2,6,"16309192, 18485799, 12494475, 18030354, 18425361, 17990328",EPHA2: inhibitor; PRKCI: inhibitor,ATP binding,0.0026021962002602
Acetylsalicylic acid,SOMATIC,TP53,1,29,"16713672, 17725429, 17565818, 17908957, 17638058, 12673679, 11916556, 16455286, 12589859, 11445859, 16969480, 11445847, 16682429, 11390535, 15240783, 14689060, 16847809, 12935924, 12673364, 15810068, 17693665, 16903330, 16012721, 12702551, 15965904, 16393249, 17312781, 12708486, 17258495",TP53: inducer,14-3-3 protein binding,0.0036030408926679
Regorafenib,SOMATIC,EPHA2,1,5,"16309192, 18485799, 12494475, 18030354, 18425361",EPHA2: inhibitor,ATP binding,0.0036030408926679
Dasatinib,SOMATIC,EPHA2,1,5,"16309192, 18485799, 12494475, 18030354, 18425361",EPHA2: antagonist,ATP binding,0.0066913616578119
Bryostatin 1,SOMATIC,CASP8,1,1,16857411,CASP8: inhibitor,cysteine-type endopeptidase activity,0.0113550379647718
Heparin,SOMATIC,SELP,1,1,16135921,SELP: inhibitor,calcium ion binding,0.0203650137411669
Caffeine,"AMPLIFICATION, SOMATIC",PIK3CA,1,17,"17989125, 17990317, 18447972, 11836556, 16380997, 16815198, 14581353, 15700036, 11959846, 11358835, 15586224, 16807070, 18376308, 17848307, 17549376, 15543611, 16676365",PIK3CA: inhibitor,1-phosphatidylinositol-3-kinase activity,0.0306258475876779
XL765,"AMPLIFICATION, SOMATIC",PIK3CA,1,17,"17989125, 17990317, 18447972, 11836556, 16380997, 16815198, 14581353, 15700036, 11959846, 11358835, 15586224, 16807070, 18376308, 17848307, 17549376, 15543611, 16676365",PIK3CA: UNKNOWN,,0.0457502401720168
Wortmannin,"AMPLIFICATION, SOMATIC",PIK3CA,1,17,"17989125, 17990317, 18447972, 11836556, 16380997, 16815198, 14581353, 15700036, 11959846, 11358835, 15586224, 16807070, 18376308, 17848307, 17549376, 15543611, 16676365",PIK3CA: UNKNOWN,,0.0463011461839404
