DRUG,MUT_TYPE,Literature-Validated Gene Targets,Number of Validated Targets,Literature-Validated Risk Genes,Number of Validated Risk Genes,Gene Target Article Count,Risk Gene Article Count,Gene Target PMIDs,Risk Gene PMIDs,ACTION,SPECIFIC_FUNCTION,Drug Empirical FDR,Percent Targets Hit
brigatinib,"AMPLIFICATION, DELETION, SOMATIC","ALK, EGFR, ERBB2, ERBB4, IGF1R, MET",6,"CDKN2A, PIK3CA",2,1004,50,"17826531, 14603452, 15161032, 17250463, 17098420, 16565089, 16551906, 16722544, 14662414, 16630292, 15930290, 17653341, 15214912, 16495180, 15476268, 18383530, 11597400, 15173005, 11173137, 15511476, 15871288, 15659782, 11992543, 17608727, 12415634, 14528090, 15473298, 17609492, 17350323, 18307254, 12782800, 18377832, 18199961, 16984384, 17969526, 17685120, 11727507, 18225590, 12544258, 17996216, 16357156, 15021776, 12202783, 11597399, 16140980, 17236202, 15672286, 18061531, 16287490, 11752453, 15231207, 16050785, 17909831, 18203445, 16986486, 11755824, 17674766, 11895923, 15208356, 11904986, 15103197, 12966511, 12860957, 15934280, 11479234, 17431103, 18172732, 17592548, 15197768, 17904355, 17200208, 14763138, 11677653, 15736426, 17208308, 16815198, 18236164, 15987992, 12063543, 16488438, 15194221, 15638964, 15878750, 17591832, 15800944, 16005600, 15796181, 11448349, 15923166, 16702519, 15804620, 17078054, 12138239, 17949783, 12422313, 12782602, 15865067, 17723181, 16796648, 16472704, 12187077, 12696248, 11890870, 12647989, 11350885, 17096332, 17404024, 16103303, 14967456, 17369752, 16158919, 18528705, 15592685, 17618045, 16088519, 17079462, 17956162, 11568571, 15256466, 15520175, 16857823, 12743152, 15887238, 17143494, 16428508, 12583831, 11673832, 11706420, 16490596, 14601066, 14977086, 12174340, 16264262, 17638894, 17435680, 12414665, 18268492, 11920518, 11939730, 17878104, 16641105, 15785737, 16919867, 18442098, 18045070, 17848272, 16144930, 12587379, 14519647, 12512382, 15199094, 18369180, 18199957, 18316548, 16750322, 17704947, 14967457, 17940077, 16183941, 12599217, 17178880, 14499691, 15212612, 17936675, 18202792, 17671674, 17964995, 11235991, 17410004, 13129707, 18329328, 11303632, 17520766, 17258495, 12912971, 12220351, 16082192, 16763281, 18043285, 15238978, 15057134, 16737616, 12820779, 18636200, 14997212, 16757203, 17961551, 18025070, 17412519, 16330971, 12952019, 16562649, 11905034, 17538163, 17762933, 12228201, 12112535, 17121916, 14612544, 16007067, 11911252, 16904111, 11705871, 16343364, 11668514, 14751528, 15520205, 16740767, 12541404, 14530163, 15450723, 12649172, 16818711, 16922611, 17660872, 16273222, 12833132, 11485898, 16731604, 12509799, 18045071, 11893453, 15756022, 17273794, 16207530, 14607328, 15608420, 17134359, 15120370, 11221831, 17520580, 11751491, 15115300, 12011992, 17205528, 18309947, 12865874, 17414097, 18349821, 15735049, 16198049, 17189989, 15774576, 16258434, 12440226, 17487368, 17075124, 17310348, 15986037, 12147092, 17888033, 11673692, 16314626, 15142631, 15319714, 11728233, 15338866, 12738995, 17211865, 17848290, 13679857, 11389080, 17591829, 14666705, 12422310, 15602716, 15221937, 16161046, 17877424, 17974918, 11846729, 16788977, 17936670, 14991901, 15833860, 12167415, 16540898, 18326051, 16552236, 11556855, 14649542, 17604679, 16644882, 11706397, 12142091, 16890793, 15827337, 11289733, 18645125, 15652339, 17697551, 16004931, 17122988, 15878755, 18302259, 15791567, 14500405, 15599851, 17224925, 17684930, 17416856, 15623643, 12607604, 18248834, 12673202, 15821783, 14988746, 18413807, 14981927, 16807070, 18366301, 15809707, 15613446, 14581353, 17141073, 12515612, 15816106, 15254682, 12826036, 14967462, 15717992, 14732836, 17631646, 17940507, 15753456, 12520461, 14581378","15495191, 18413807, 16807070, 11309301, 16849682, 17848307, 12459644, 16676365, 14654786, 17990317, 16380997, 16278815, 14581353, 15700036, 16815198, 11959846, 11720478, 12632081, 12684406, 17989125, 11836556, 11358835, 15586224, 15543611, 15083191, 14991744, 18376308, 18447972, 17549376, 17117177, 16713672, 14586645, 17079134",ALK: inhibitor; EGFR: inhibitor; ERBB2: inhibitor; ERBB4: inhibitor; IGF1R: inhibitor; MET: inhibitor,ATP binding; actin filament binding,0.0042581392367894,100.0
erdafitinib,"AMPLIFICATION, SOMATIC","FGFR1, FGFR2, FGFR3, FGFR4, KIT, PDGFRA, RET",7,PIK3CA,1,134,34,"11329134, 16807070, 16342249, 11953175, 17253141, 15988378, 15583857, 18437172, 11502806, 12075207, 11938683, 10989966, 12743496, 11301350, 15379723, 10999773, 12907632, 16555619, 16946010, 17891251, 16932252, 11502837, 12162676, 16778204, 12569015, 16402937, 16634961, 14962731, 16209369, 11216646, 12212516, 15611826, 17435680, 14761598, 17900235, 11817715, 17317803, 17513510, 14499691, 15719371, 16350727, 17427103, 12548161, 17935283, 16630292, 11742034, 15203751, 15165306, 17131411, 17545628, 11562460, 16149875, 11116144, 18551016, 11605053, 11289733, 12670889, 18059337, 11370534, 17471236, 11706744, 16551863, 16757203","16380997, 11358835, 14581353, 15700036, 16807070, 11959846, 16815198, 15586224, 18447972, 15543611, 17848307, 17989125, 11836556, 16676365, 18376308, 17549376, 17990317",FGFR1: inhibitor; FGFR2: inhibitor; FGFR3: inhibitor; FGFR4: inhibitor; KIT: substrate; PDGFRA: substrate; RET: substrate,ATP binding,0.0042581392367894,100.0
lenvatinib,"AMPLIFICATION, SOMATIC","FGFR1, FGFR2, FGFR3, FGFR4, KIT, PDGFRA, RET",7,PIK3CA,1,134,34,"11329134, 16807070, 16342249, 11953175, 17253141, 15988378, 15583857, 18437172, 11502806, 12075207, 11938683, 10989966, 12743496, 11301350, 15379723, 10999773, 12907632, 16555619, 16946010, 17891251, 16932252, 11502837, 12162676, 16778204, 12569015, 16402937, 16634961, 14962731, 16209369, 11216646, 12212516, 15611826, 17435680, 14761598, 17900235, 11817715, 17317803, 17513510, 14499691, 15719371, 16350727, 17427103, 12548161, 17935283, 16630292, 11742034, 15203751, 15165306, 17131411, 17545628, 11562460, 16149875, 11116144, 18551016, 11605053, 11289733, 12670889, 18059337, 11370534, 17471236, 11706744, 16551863, 16757203","16380997, 11358835, 14581353, 15700036, 16807070, 11959846, 16815198, 15586224, 18447972, 15543611, 17848307, 17989125, 11836556, 16676365, 18376308, 17549376, 17990317",FGFR1: inhibitor; FGFR2: inhibitor; FGFR3: inhibitor; FGFR4: inhibitor; KIT: inhibitor; PDGFRA: inhibitor; RET: inhibitor,ATP binding,0.0042581392367894,100.0
lucitanib,"AMPLIFICATION, SOMATIC","FGFR1, FGFR2, FGFR3, PDGFRA",4,PIK3CA,1,24,34,"17545628, 16807070, 11562460, 11605053, 17513510, 14499691, 18059337, 12075207, 15165306, 12569015","16380997, 11358835, 14581353, 15700036, 16807070, 11959846, 16815198, 15586224, 18447972, 15543611, 17848307, 17989125, 11836556, 16676365, 18376308, 17549376, 17990317",FGFR1: inhibitor; FGFR2: inhibitor; FGFR3: inhibitor; PDGFRA: inhibitor,ATP binding,0.0042581392367894,100.0
nintedanib,"AMPLIFICATION, SOMATIC","FGFR1, FGFR2, FGFR3, LYN, PDGFRA, SRC",6,PIK3CA,1,28,34,"17545628, 16807070, 11562460, 17252232, 11605053, 17961551, 17513510, 14499691, 18059337, 12075207, 15165306, 12569015","16380997, 11358835, 14581353, 15700036, 16807070, 11959846, 16815198, 15586224, 18447972, 15543611, 17848307, 17989125, 11836556, 16676365, 18376308, 17549376, 17990317",FGFR1: inhibitor; FGFR2: inhibitor; FGFR3: inhibitor; LYN: inhibitor; PDGFRA: inhibitor; SRC: inhibitor,ATP binding,0.0042581392367894,100.0
pd-166326,"AMPLIFICATION, DELETION, SOMATIC","EGFR, FGFR1, KIT, PDGFRA, SRC",5,"CDKN2A, PIK3CA, TP53",3,921,79,"17671674, 17964995, 12440226, 17826531, 14603452, 17487368, 15161032, 11235991, 17410004, 17310348, 15986037, 13129707, 11677653, 15736426, 17208308, 12147092, 17250463, 18329328, 11303632, 17888033, 11673692, 17520766, 16314626, 15142631, 17098420, 17258495, 15987992, 16565089, 18236164, 12063543, 16551906, 16488438, 12912971, 16722544, 14662414, 12220351, 15194221, 15638964, 15878750, 11728233, 16082192, 15338866, 16763281, 17591832, 12738995, 17935283, 15800944, 16630292, 17211865, 15930290, 13679857, 11389080, 15238978, 17591829, 17653341, 17848290, 12422310, 11562460, 15057134, 16495180, 16737616, 16161046, 16005600, 15476268, 11846729, 17877424, 17974918, 11597400, 12820779, 15796181, 16788977, 15173005, 11448349, 18383530, 18636200, 14997212, 15923166, 16702519, 15804620, 16757203, 17936670, 15833860, 17078054, 12138239, 16342249, 17961551, 17253141, 12167415, 17949783, 11173137, 12422313, 12782602, 15865067, 17723181, 16472704, 18025070, 12187077, 15871288, 12696248, 15659782, 11992543, 16540898, 17608727, 11890870, 12415634, 12647989, 18326051, 14528090, 11350885, 15473298, 17096332, 17412519, 17404024, 16330971, 16103303, 17609492, 16552236, 12952019, 14967456, 16562649, 17369752, 11556855, 16158919, 11905034, 14649542, 17513510, 15592685, 17538163, 17762933, 12228201, 11706397, 12142091, 16644882, 17618045, 12782800, 12112535, 18307254, 15165306, 16088519, 16890793, 16984384, 17079462, 17121916, 15827337, 18377832, 17956162, 11568571, 18645125, 18059337, 14612544, 15256466, 17685120, 15652339, 17697551, 15520175, 16004931, 11727507, 16857823, 17122988, 15878755, 18225590, 16007067, 11911252, 18302259, 16904111, 12743152, 15791567, 15887238, 16343364, 17143494, 12544258, 14500405, 16428508, 11668514, 15599851, 14751528, 12583831, 15520205, 16740767, 11673832, 12541404, 17996216, 17224925, 14530163, 15450723, 16357156, 11706420, 14601066, 12202783, 14977086, 16818711, 12174340, 16264262, 11597399, 16922611, 16140980, 17236202, 15623643, 17638894, 17660872, 16273222, 12833132, 12607604, 15672286, 12509799, 16731604, 12414665, 18045071, 18061531, 18268492, 16287490, 11893453, 15756022, 17273794, 11920518, 18248834, 11939730, 12673202, 17878104, 16641105, 15785737, 16919867, 18442098, 18045070, 16207530, 15231207, 17848272, 16050785, 15821783, 17909831, 14988746, 14607328, 16986486, 18203445, 16144930, 12587379, 18413807, 16807070, 11755824, 14519647, 14981927, 15608420, 17134359, 11895923, 15120370, 15809707, 17674766, 18366301, 12512382, 11221831, 15613446, 17520580, 15199094, 18369180, 18199957, 15208356, 11904986, 18316548, 11751491, 14581353, 15115300, 16750322, 12011992, 17141073, 15103197, 12515612, 12966511, 12860957, 15816106, 14967457, 15254682, 17205528, 12826036, 17940077, 14967462, 15934280, 11479234, 17431103, 18172732, 16183941, 12599217, 17178880, 17317803, 14499691, 18309947, 15717992, 17592548, 12865874, 14732836, 15197768, 15212612, 17631646, 17936675, 16198049, 17545628, 17940507, 15753456, 17189989, 15774576, 16258434, 12520461, 17904355, 17200208, 14763138, 18202792, 14581378","15495191, 18413807, 11916556, 16807070, 17638058, 11309301, 16969480, 16849682, 17848307, 16682429, 17312781, 12459644, 12708486, 16676365, 14689060, 11445847, 12589859, 14654786, 17990317, 16380997, 12935924, 15965904, 16278815, 14581353, 15700036, 16815198, 11959846, 11720478, 12632081, 17908957, 11390535, 12684406, 16455286, 17989125, 17258495, 12702551, 11836556, 12673364, 15810068, 11358835, 16903330, 12673679, 17693665, 15586224, 15543611, 15240783, 16847809, 16393249, 15083191, 14991744, 18376308, 18447972, 17549376, 17117177, 16012721, 16713672, 17725429, 11445859, 14586645, 17565818, 17079134",EGFR: inhibitor; FGFR1: inhibitor; KIT: inhibitor; PDGFRA: inhibitor; SRC: inhibitor,actin filament binding; ATP binding,0.0042581392367894,100.0
sorafenib,"AMPLIFICATION, SOMATIC","BRAF, EGFR, FGFR1, KIT, RET",5,PIK3CA,1,790,34,"17826531, 14603452, 15161032, 17250463, 17098420, 16565089, 16551906, 16722544, 14662414, 16630292, 15930290, 17653341, 16495180, 15476268, 18383530, 11597400, 16818623, 15173005, 11173137, 10989966, 15871288, 15659782, 11992543, 17608727, 16555619, 12415634, 14528090, 15473298, 17609492, 18307254, 11742034, 12782800, 15165306, 18377832, 16984384, 15761501, 18059337, 17685120, 16728576, 11727507, 18225590, 12544258, 11938683, 17996216, 16357156, 12202783, 11597399, 16140980, 17236202, 15672286, 18061531, 16287490, 17131411, 18551016, 15231207, 16050785, 17909831, 18203445, 16551863, 16986486, 11755824, 17674766, 11895923, 15208356, 11904986, 15103197, 16778204, 12966511, 12860957, 16634961, 15934280, 11479234, 17431103, 18172732, 17317803, 17592548, 15197768, 17725429, 17904355, 17200208, 14763138, 11329134, 14508525, 11677653, 15736426, 17208308, 18236164, 15987992, 12063543, 16488438, 15194221, 15638964, 15878750, 17591832, 17786355, 17935283, 15800944, 15203751, 16005600, 15796181, 11448349, 15923166, 16702519, 15804620, 17078054, 12138239, 16342249, 15195111, 11953175, 15988378, 17949783, 12422313, 12782602, 15865067, 17723181, 16472704, 12187077, 12696248, 11890870, 12647989, 11350885, 17096332, 17404024, 16103303, 14967456, 17369752, 16158919, 15592685, 17618045, 16088519, 17079462, 17956162, 11568571, 15256466, 15520175, 16857823, 12743152, 15887238, 17143494, 18437172, 16428508, 12583831, 11673832, 11706420, 16932252, 14601066, 14977086, 17525478, 12174340, 16264262, 17638894, 17435680, 15611826, 11817715, 12414665, 18268492, 17179987, 11920518, 15681856, 11939730, 17878104, 16641105, 15613458, 15785737, 16919867, 18442098, 18045070, 17848272, 16533790, 16144930, 12587379, 14519647, 12512382, 15199094, 18369180, 18199957, 18316548, 15379723, 16750322, 12162676, 14967457, 17940077, 16183941, 12599217, 17178880, 15212612, 17936675, 17545628, 17471236, 18202792, 17671674, 17964995, 17097223, 11235991, 17410004, 13129707, 18329328, 11303632, 17520766, 11502837, 17258495, 12912971, 12220351, 16082192, 16763281, 15238978, 11562460, 15057134, 16149875, 16737616, 12820779, 18636200, 14997212, 16757203, 17961551, 18025070, 17412519, 17989125, 16330971, 12952019, 17968324, 16562649, 12212516, 15947100, 11905034, 17538163, 17762933, 12228201, 12112535, 17121916, 14612544, 11370534, 18251569, 16906516, 16007067, 11911252, 16904111, 16343364, 15583857, 11668514, 14751528, 15520205, 16740767, 12541404, 14530163, 15450723, 16818711, 16922611, 17660872, 16273222, 12833132, 16731604, 12509799, 18045071, 11893453, 15756022, 17273794, 18043251, 16207530, 14607328, 15608420, 17134359, 15120370, 11221831, 17520580, 11751491, 15115300, 12011992, 15161700, 16209369, 17205528, 14761598, 17900235, 18309947, 17891234, 12865874, 16198049, 17189989, 15774576, 16258434, 16444351, 17638058, 12440226, 17487368, 17310348, 15986037, 12907632, 12147092, 16946010, 17888033, 11673692, 16314626, 15142631, 11728233, 15338866, 12738995, 17211865, 17848290, 13679857, 11389080, 18376308, 17591829, 12422310, 16161046, 17877424, 17974918, 11846729, 16788977, 17936670, 15833860, 17253141, 12167415, 16540898, 18326051, 17891251, 16552236, 14962731, 11556855, 16254036, 14649542, 17513510, 16644882, 11706397, 12142091, 16890793, 15827337, 11116144, 11289733, 18645125, 15652339, 17697551, 11706744, 16434896, 16004931, 17122988, 15878755, 18302259, 15791567, 11502806, 14500405, 15599851, 17224925, 15630448, 17684930, 15623643, 12607604, 15719371, 16350727, 12548161, 18248834, 12673202, 12670889, 15821783, 14988746, 18413807, 16807070, 14981927, 18366301, 15809707, 15613446, 12743496, 11301350, 14581353, 10999773, 17141073, 12515612, 16402937, 15816106, 15254682, 12826036, 11216646, 14967462, 17575107, 17427103, 15717992, 14732836, 17631646, 17940507, 15753456, 12520461, 14581378","16380997, 11358835, 14581353, 15700036, 16807070, 11959846, 16815198, 15586224, 18447972, 15543611, 17848307, 17989125, 11836556, 16676365, 18376308, 17549376, 17990317",BRAF: inhibitor; EGFR: inhibitor; FGFR1: inhibitor; KIT: antagonist; RET: inhibitor,ATP binding; actin filament binding,0.0042581392367894,100.0
sunitinib,"AMPLIFICATION, SOMATIC","KIT, MET, PDGFRA",3,PIK3CA,1,40,34,"16342249, 17253141, 11911252, 11705871, 17075124, 17684930, 15319714, 17435680, 17317803, 17513510, 14499691, 17935283, 16630292, 18349821, 15735049, 11752453, 11289733, 14991901, 16757203","16380997, 11358835, 14581353, 15700036, 16807070, 11959846, 16815198, 15586224, 18447972, 15543611, 17848307, 17989125, 11836556, 16676365, 18376308, 17549376, 17990317",KIT: inhibitor; MET: inhibitor; PDGFRA: inhibitor,ATP binding,0.0042581392367894,100.0
ponatinib,"AMPLIFICATION, DELETION, SOMATIC","FGFR1, FGFR2, FGFR3, FGFR4, KIT, LYN, PDGFRA, RET, SRC",9,"CDKN2A, PIK3CA",2,144,50,"11329134, 16807070, 16342249, 17961551, 11953175, 17253141, 15988378, 15583857, 18437172, 11502806, 12075207, 11938683, 10989966, 12743496, 11301350, 15379723, 10999773, 12907632, 16555619, 16946010, 17891251, 16932252, 11502837, 12162676, 16778204, 12569015, 16402937, 16634961, 14962731, 16209369, 11216646, 12212516, 15611826, 17435680, 14761598, 17900235, 11817715, 17317803, 17513510, 14499691, 15719371, 16350727, 17427103, 12548161, 17935283, 16630292, 11742034, 15203751, 15165306, 17131411, 17545628, 11562460, 16149875, 11116144, 18551016, 11605053, 11289733, 17252232, 12670889, 18059337, 11370534, 17471236, 11706744, 16551863, 16757203","15495191, 18413807, 16807070, 11309301, 16849682, 17848307, 12459644, 16676365, 14654786, 17990317, 16380997, 16278815, 14581353, 15700036, 16815198, 11959846, 11720478, 12632081, 12684406, 17989125, 11836556, 11358835, 15586224, 15543611, 15083191, 14991744, 18376308, 18447972, 17549376, 17117177, 16713672, 14586645, 17079134",FGFR1: inhibitor; FGFR2: inhibitor; FGFR3: inhibitor; FGFR4: inhibitor; KIT: inhibitor; LYN: inhibitor; PDGFRA: inhibitor; RET: inhibitor; SRC: inhibitor,ATP binding,0.0042581392367894,93.33333333333331
pralsetinib,"AMPLIFICATION, SOMATIC","FGFR1, FGFR2, JAK2, NTRK1, NTRK3, RET",6,PIK3CA,1,118,34,"11329134, 16807070, 11279608, 11953175, 15988378, 15583857, 18437172, 11502806, 11938683, 12075207, 11114633, 10989966, 12743496, 11301350, 15379723, 10999773, 12907632, 16555619, 16946010, 17891251, 16932252, 11502837, 12162676, 16778204, 16402937, 16634961, 14962731, 16483615, 16209369, 11216646, 12212516, 15611826, 17435680, 14761598, 17900235, 11817715, 15719371, 16350727, 17427103, 12548161, 11742034, 15203751, 15165306, 17131411, 17545628, 11562460, 16149875, 11116144, 18551016, 11289733, 12670889, 15947106, 18059337, 11370534, 17471236, 11706744, 16551863, 12569015","16380997, 11358835, 14581353, 15700036, 16807070, 11959846, 16815198, 15586224, 18447972, 15543611, 17848307, 17989125, 11836556, 16676365, 18376308, 17549376, 17990317",FGFR1: inhibitor; FGFR2: inhibitor; JAK2: inhibitor; NTRK1: inhibitor; NTRK3: inhibitor; RET: inhibitor,ATP binding; acetylcholine receptor binding,0.0042581392367894,90.9090909090909
