DRUG,MUT_TYPE,Literature-Validated Gene Targets,Number of Validated Targets,Literature-Validated Risk Genes,Number of Validated Risk Genes,Gene Target Article Count,Risk Gene Article Count,Gene Target PMIDs,Risk Gene PMIDs,ACTION,SPECIFIC_FUNCTION,Drug Empirical FDR,Percent Targets Hit
ci-1040,"AMPLIFICATION, SOMATIC","AKT1, CHEK1",2,"PIK3CA, RFC4",2,8,18,"16002527, 14581353, 16888677, 15226608, 17974918, 16778075, 15896313, 12532415","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 16467079, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",AKT1: inhibitor; CHEK1: inhibitor,14-3-3 protein binding; ATP binding,0.0020946302164885,66.66666666666666
artenimol,AMPLIFICATION,GAPDH,1,SOX2,1,15,18,"17132224, 16455286, 16761435, 15613457, 17565818, 17540725, 16316724, 17663946, 17701052","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 15942670, 17549376",GAPDH: ligand; GAPDH: ligand,aspartic-type endopeptidase inhibitor activity; glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity,0.0020946302164885,34.61538461538461
brigatinib,"AMPLIFICATION, SOMATIC","ALK, EGFR, ERBB2, ERBB4, IGF1R, MET",6,PIK3CA,1,1021,34,"18199961, 15804620, 12782800, 17961551, 11389080, 17369752, 17848272, 17205528, 15871288, 12696248, 18045070, 16140980, 11677653, 17211865, 18225590, 12509799, 15057134, 17431103, 17404024, 11846729, 17189989, 14981927, 17224925, 16158919, 18025070, 17936670, 16428508, 12415634, 17098420, 14581353, 18369180, 14732836, 17674766, 15592685, 12649172, 15623643, 16807070, 15756022, 16818711, 16630292, 17685120, 18061531, 12966511, 14528090, 17078054, 17956162, 15796181, 16103303, 11755824, 11895923, 17350323, 17604679, 17904355, 17121916, 15887238, 18302259, 17410004, 18172732, 15161032, 11173137, 11939730, 17909831, 11706397, 17134359, 16737616, 16050785, 18366301, 18442098, 18349821, 15638964, 15987992, 17996216, 12063543, 12860957, 15800944, 16472704, 17591832, 16314626, 12520461, 17414097, 17848290, 17236202, 16904111, 18043285, 15120370, 11568571, 18236164, 11303632, 17723181, 15208356, 12220351, 15194221, 12440226, 15672286, 16641105, 14612544, 15785737, 16330971, 17660872, 12422313, 12228201, 16919867, 14991901, 15613446, 12607604, 15717992, 12112535, 15103197, 15608420, 17969526, 14967457, 14967456, 17608727, 16005600, 15021776, 11705871, 14601066, 14662414, 15930290, 11221831, 14997212, 11904986, 18383530, 11905034, 18645125, 16740767, 16644882, 18329328, 11448349, 16161046, 11890870, 11992543, 15199094, 11920518, 16287490, 17940507, 16198049, 18199957, 18326051, 11911252, 18307254, 18636200, 17538163, 13679857, 16757203, 17122988, 15652339, 17258495, 12202783, 15473298, 18202792, 17653341, 18203445, 16722544, 16890793, 11673692, 15231207, 17143494, 17487368, 15214912, 11597399, 11235991, 15221937, 16357156, 16183941, 18248834, 16552236, 17591829, 16565089, 16857823, 12738995, 16540898, 12833132, 15923166, 15827337, 17310348, 17638894, 17940077, 11673832, 17631646, 16750322, 17671674, 18377832, 15254682, 12743152, 11727507, 14763138, 15865067, 12515612, 16922611, 16088519, 16488438, 12512382, 12142091, 17200208, 14519647, 17762933, 16258434, 12826036, 14607328, 15238978, 14649542, 11350885, 15986037, 15212612, 17416856, 17609492, 15142631, 15878755, 16082192, 15338866, 11485898, 17936675, 15736426, 14967462, 17964995, 17520580, 15809707, 15735049, 12952019, 12912971, 17684930, 12167415, 15520205, 16986486, 12599217, 12011992, 16788977, 18309947, 14666705, 16763281, 11479234, 15878750, 12541404, 17618045, 12865874, 17250463, 12647989, 18045071, 12147092, 17208308, 11893453, 17878104, 11556855, 15197768, 17697551, 12544258, 17435680, 12174340, 17079462, 17520766, 17178880, 15319714, 15173005, 11289733, 14603452, 12187077, 11597400, 12414665, 15599851, 16004931, 17888033, 13129707, 15602716, 14530163, 15520175, 15821783, 12138239, 15115300, 17949783, 16343364, 15256466, 16702519, 16007067, 17412519, 17075124, 17877424, 18268492, 18316548, 11752453, 16551906, 16984384, 17096332, 15833860, 16495180, 12782602, 16273222, 15774576, 12587379, 15450723, 18413807, 14499691, 15659782, 14977086, 17826531, 17704947, 12583831, 15934280, 11751491, 17974918, 15791567, 14500405, 11728233, 11706420, 17592548, 16144930, 14751528, 16562649, 16796648, 15511476, 15816106, 12422310, 16815198, 12673202, 15476268, 14581378, 17141073, 18528705, 15753456, 16264262, 12820779, 11668514, 16207530, 16490596, 14988746, 17273794, 16731604","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",ALK: inhibitor; EGFR: inhibitor; ERBB2: inhibitor; ERBB4: inhibitor; IGF1R: inhibitor; MET: inhibitor,ATP binding; actin filament binding,0.0023094640848463,100.0
erdafitinib,"AMPLIFICATION, SOMATIC","FGFR1, FGFR2, FGFR3, FGFR4, KIT, PDGFRA, RET",7,PIK3CA,1,154,34,"16342249, 15719371, 16209369, 11742034, 18059337, 11329134, 11938683, 11562460, 11605053, 15203751, 17317803, 14962731, 15379723, 17427103, 16634961, 11289733, 12670889, 16807070, 17935283, 11370534, 11216646, 16778204, 11817715, 16630292, 12548161, 17131411, 11953175, 15988378, 17253141, 16946010, 12075207, 16402937, 15583857, 17545628, 16757203, 11116144, 11301350, 17513510, 12212516, 12162676, 12907632, 15611826, 17891251, 18437172, 16149875, 17471236, 16350727, 16932252, 10989966, 11706744, 16555619, 15165306, 12569015, 12743496, 14761598, 14499691, 16551863, 17435680, 17900235, 11502806, 18551016, 10999773, 11502837","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",FGFR1: inhibitor; FGFR2: inhibitor; FGFR3: inhibitor; FGFR4: inhibitor; KIT: substrate; PDGFRA: substrate; RET: substrate,ATP binding,0.0023094640848463,100.0
famitinib,"AMPLIFICATION, SOMATIC","KIT, PDGFRA",2,PIK3CA,1,27,34,"16342249, 17253141, 16757203, 17935283, 14499691, 17513510, 17317803, 16630292","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",KIT: inhibitor; PDGFRA: inhibitor,ATP binding,0.0023094640848463,100.0
lenvatinib,"AMPLIFICATION, SOMATIC","FGFR1, FGFR2, FGFR3, FGFR4, KIT, PDGFRA, RET",7,PIK3CA,1,154,34,"16342249, 15719371, 16209369, 11742034, 18059337, 11329134, 11938683, 11562460, 11605053, 15203751, 17317803, 14962731, 15379723, 17427103, 16634961, 11289733, 12670889, 16807070, 17935283, 11370534, 11216646, 16778204, 11817715, 16630292, 12548161, 17131411, 11953175, 15988378, 17253141, 16946010, 12075207, 16402937, 15583857, 17545628, 16757203, 11116144, 11301350, 17513510, 12212516, 12162676, 12907632, 15611826, 17891251, 18437172, 16149875, 17471236, 16350727, 16932252, 10989966, 11706744, 16555619, 15165306, 12569015, 12743496, 14761598, 14499691, 16551863, 17435680, 17900235, 11502806, 18551016, 10999773, 11502837","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",FGFR1: inhibitor; FGFR2: inhibitor; FGFR3: inhibitor; FGFR4: inhibitor; KIT: inhibitor; PDGFRA: inhibitor; RET: inhibitor,ATP binding,0.0023094640848463,100.0
lucitanib,"AMPLIFICATION, SOMATIC","FGFR1, FGFR2, FGFR3, PDGFRA",4,PIK3CA,1,36,34,"12569015, 12075207, 18059337, 15165306, 16807070, 11562460, 17545628, 11605053, 14499691, 17513510","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",FGFR1: inhibitor; FGFR2: inhibitor; FGFR3: inhibitor; PDGFRA: inhibitor,ATP binding,0.0023094640848463,100.0
nintedanib,"AMPLIFICATION, SOMATIC","FGFR1, FGFR2, FGFR3, LYN, PDGFRA, SRC",6,PIK3CA,1,42,34,"12569015, 12075207, 18059337, 15165306, 16807070, 11562460, 17545628, 17961551, 11605053, 14499691, 17252232, 17513510","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",FGFR1: inhibitor; FGFR2: inhibitor; FGFR3: inhibitor; LYN: inhibitor; PDGFRA: inhibitor; SRC: inhibitor,ATP binding,0.0023094640848463,100.0
pd-166326,"AMPLIFICATION, SOMATIC","EGFR, FGFR1, KIT, PDGFRA, SRC",5,PIK3CA,1,933,34,"17079462, 17310348, 18236164, 18059337, 11303632, 17961551, 12782800, 15804620, 17178880, 15208356, 17520766, 17638894, 17723181, 12220351, 15194221, 12440226, 11389080, 17369752, 11673832, 15173005, 17848272, 15672286, 16641105, 17205528, 17631646, 17940077, 16750322, 15871288, 12696248, 18045070, 16140980, 14603452, 14612544, 17935283, 12187077, 15785737, 16330971, 11597400, 17660872, 11677653, 12414665, 15599851, 17671674, 16004931, 17211865, 17888033, 18377832, 18225590, 12509799, 15057134, 12422313, 17431103, 13129707, 17404024, 12228201, 14530163, 16919867, 11846729, 17513510, 17189989, 14981927, 15254682, 15520175, 15613446, 15821783, 12743152, 17224925, 11727507, 12607604, 15717992, 12138239, 16158919, 14763138, 15865067, 18025070, 17936670, 12515612, 16922611, 12112535, 15103197, 16428508, 15608420, 15115300, 12415634, 17949783, 16088519, 14967457, 14581353, 16488438, 17098420, 18369180, 12512382, 16343364, 14967456, 17608727, 14732836, 12142091, 17200208, 14519647, 15256466, 16005600, 16702519, 17762933, 17674766, 16258434, 17317803, 12826036, 16007067, 15592685, 17412519, 17273794, 15623643, 16807070, 14607328, 17877424, 18268492, 18316548, 15756022, 16818711, 15238978, 14649542, 11350885, 14601066, 15986037, 14662414, 16630292, 15930290, 16551906, 17685120, 11221831, 15212612, 16984384, 17096332, 14997212, 18061531, 17545628, 11904986, 15833860, 16495180, 11905034, 12782602, 18383530, 12966511, 14528090, 16273222, 17609492, 15774576, 16740767, 18645125, 16644882, 12587379, 15142631, 15450723, 15878755, 17078054, 17956162, 18329328, 18413807, 16082192, 15338866, 11448349, 15796181, 16161046, 16103303, 14499691, 15659782, 11895923, 11755824, 11890870, 16342249, 17904355, 14977086, 11992543, 15736426, 17121916, 17826531, 11562460, 12583831, 17936675, 15887238, 18302259, 14967462, 15199094, 15934280, 17964995, 11920518, 11751491, 17520580, 17410004, 16287490, 18172732, 17940507, 15809707, 17974918, 16198049, 15791567, 18199957, 15161032, 18326051, 14500405, 11911252, 12952019, 11728233, 18307254, 11173137, 11939730, 12912971, 11706420, 17909831, 18636200, 17538163, 12167415, 17592548, 13679857, 16757203, 15520205, 17122988, 16986486, 15652339, 16144930, 11706397, 12202783, 17134359, 17258495, 14751528, 12599217, 16737616, 12011992, 15473298, 17653341, 16562649, 16050785, 18202792, 18203445, 18366301, 16788977, 18309947, 18442098, 15816106, 12422310, 16722544, 15638964, 11673692, 16890793, 15231207, 15987992, 17143494, 17487368, 17996216, 12673202, 12063543, 12860957, 15800944, 16763281, 11479234, 15878750, 16472704, 11597399, 17591832, 16314626, 12520461, 12541404, 17618045, 12865874, 17250463, 17848290, 11235991, 12647989, 18045071, 16357156, 15476268, 16183941, 18248834, 12147092, 17141073, 17236202, 17208308, 15753456, 16904111, 16552236, 17253141, 17591829, 16264262, 16565089, 11893453, 16857823, 12820779, 17878104, 12738995, 11668514, 16540898, 11556855, 16207530, 12833132, 15197768, 15923166, 17697551, 15827337, 15120370, 15165306, 11568571, 12544258, 14988746, 16731604, 12174340, 14581378","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",EGFR: inhibitor; FGFR1: inhibitor; KIT: inhibitor; PDGFRA: inhibitor; SRC: inhibitor,actin filament binding; ATP binding,0.0023094640848463,100.0
sorafenib,"AMPLIFICATION, SOMATIC","BRAF, EGFR, FGFR1, KIT, RET",5,PIK3CA,1,1138,34,"16209369, 15804620, 12782800, 17961551, 15203751, 11389080, 17369752, 17848272, 15379723, 17205528, 15871288, 12696248, 18045070, 16140980, 15681856, 11817715, 11677653, 17211865, 18225590, 12509799, 15057134, 17431103, 17404024, 11846729, 17513510, 17189989, 14981927, 17224925, 16158919, 18025070, 17936670, 16428508, 12415634, 17179987, 17098420, 14581353, 18369180, 14732836, 17525478, 17674766, 15592685, 17427103, 15623643, 16807070, 17638058, 15756022, 16818711, 16630292, 17685120, 18061531, 12212516, 12966511, 14528090, 17078054, 17956162, 15796181, 16103303, 11502806, 11895923, 11755824, 16444351, 16342249, 15719371, 17904355, 17121916, 15887238, 18302259, 17410004, 18172732, 15161032, 12548161, 11173137, 11939730, 17909831, 11706397, 17134359, 16737616, 16050785, 18366301, 18442098, 15638964, 18551016, 15987992, 17996216, 12063543, 12860957, 15800944, 16472704, 17591832, 16314626, 12520461, 17848290, 17236202, 16904111, 12907632, 15611826, 16350727, 15120370, 15165306, 11568571, 14508525, 18236164, 11303632, 17723181, 15208356, 12220351, 15194221, 12440226, 17786355, 15672286, 16641105, 14612544, 15785737, 16330971, 17660872, 12422313, 12228201, 16919867, 12162676, 15613446, 12607604, 15717992, 12112535, 15103197, 15608420, 14967457, 14967456, 17608727, 16906516, 16005600, 14601066, 14662414, 15930290, 11221831, 14997212, 11904986, 18383530, 11905034, 18376308, 18645125, 16740767, 16644882, 18329328, 11706744, 11448349, 12743496, 16161046, 11890870, 11992543, 15199094, 11920518, 16634961, 16287490, 17940507, 16198049, 18199957, 18326051, 11911252, 18307254, 18636200, 17891234, 17538163, 15195111, 13679857, 16757203, 11116144, 17122988, 11301350, 15652339, 17258495, 12202783, 18437172, 15473298, 18202792, 17653341, 18203445, 17097223, 16722544, 16890793, 11673692, 16533790, 15231207, 17143494, 17487368, 11938683, 11597399, 11235991, 16357156, 16183941, 18248834, 15988378, 16552236, 17591829, 15583857, 16565089, 16857823, 12738995, 16540898, 12833132, 15923166, 15827337, 10989966, 17310348, 17638894, 16818623, 17940077, 11673832, 17631646, 16750322, 18043251, 17671674, 17131411, 18377832, 15254682, 12743152, 11727507, 16434896, 14763138, 15865067, 12515612, 16922611, 15613458, 10999773, 16088519, 16488438, 12512382, 12142091, 17200208, 15630448, 14519647, 17762933, 17317803, 16258434, 12826036, 14607328, 15238978, 14649542, 11350885, 15986037, 15212612, 16946010, 17545628, 16254036, 17609492, 17891251, 15142631, 15878755, 16082192, 15338866, 11502837, 17936675, 15736426, 14967462, 17964995, 17520580, 17989125, 15809707, 12952019, 12912971, 17684930, 12167415, 15520205, 17575107, 16986486, 12599217, 12011992, 16555619, 16788977, 18309947, 14761598, 16763281, 11479234, 15878750, 12541404, 17618045, 14962731, 12865874, 17250463, 12647989, 18045071, 11216646, 12147092, 17208308, 11893453, 17878104, 11556855, 15197768, 17697551, 17471236, 12544258, 17435680, 12174340, 17079462, 18059337, 17520766, 17178880, 15173005, 11289733, 16728576, 14603452, 17935283, 12187077, 11597400, 12414665, 15599851, 16004931, 17888033, 16402937, 13129707, 14530163, 15520175, 15821783, 16932252, 12138239, 15115300, 17949783, 11742034, 16343364, 11329134, 15256466, 16702519, 16007067, 17412519, 17877424, 18268492, 18316548, 11370534, 16551906, 16984384, 17096332, 15833860, 16495180, 12782602, 16273222, 15774576, 12587379, 15450723, 18413807, 15659782, 16551863, 14977086, 17826531, 11562460, 12583831, 15947100, 15934280, 15761501, 11751491, 17974918, 15791567, 14500405, 16778204, 11728233, 11706420, 17592548, 16144930, 14751528, 16562649, 15816106, 12422310, 12670889, 12673202, 17968324, 17725429, 15476268, 14581378, 17141073, 11953175, 17253141, 15753456, 16264262, 12820779, 18251569, 11668514, 16149875, 16207530, 14988746, 17900235, 17273794, 15161700, 16731604","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",BRAF: inhibitor; EGFR: inhibitor; FGFR1: inhibitor; KIT: antagonist; RET: inhibitor,ATP binding; actin filament binding,0.0023094640848463,100.0
